hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,is_repeated_guest,previous_cancellations,deposit_type,customer_type,adr,total_of_special_requests
Resort Hotel,0,73,2016,February,1,2,1,0.0,0,BB,GBR,Offline TA/TO,0,0,No Deposit,Transient,88.17,0
City Hotel,1,132,2017,April,2,5,2,0.0,0,FB,GBR,Offline TA/TO,0,0,No Deposit,Transient,81.68,0
Resort Hotel,0,21,2015,April,0,0,2,0.0,0,SC,DEU,Online TA,0,0,No Deposit,Transient,35.86,0
Resort Hotel,0,49,2016,February,0,3,2,1.0,0,SC,DEU,Groups,0,0,No Deposit,Transient,110.93,2
City Hotel,0,94,2017,February,0,1,2,1.0,0,HB,USA,Online TA,0,3,No Deposit,Transient,94.3,0
Resort Hotel,1,100,2016,June,1,1,1,0.0,0,BB,FRA,Online TA,0,0,Non Refund,Transient-Party,141.8,0
Resort Hotel,0,177,2015,May,0,2,3,0.0,0,SC,NLD,Groups,0,0,No Deposit,Transient,82.73,1
City Hotel,0,26,2015,February,0,5,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,106.2,0
City Hotel,1,122,2017,February,0,2,2,0.0,0,Undefined,PRT,Complementary,0,1,Non Refund,Transient-Party,120.03,0
City Hotel,0,38,2017,November,1,3,2,0.0,0,Undefined,DEU,Offline TA/TO,0,0,No Deposit,Transient,122.02,0
Resort Hotel,0,153,2015,August,1,0,2,0.0,0,SC,USA,Corporate,0,0,No Deposit,Transient,165.63,0
City Hotel,1,180,2017,March,0,0,2,0.0,0,BB,ESP,Online TA,0,0,No Deposit,Transient,107.54,0
Resort Hotel,0,41,2016,July,0,0,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,135.3,1
City Hotel,0,27,2015,April,1,7,2,0.0,0,BB,PRT,Online TA,0,3,No Deposit,Transient,78.47,0
City Hotel,1,171,2015,April,0,3,2,0.0,0,HB,PRT,Offline TA/TO,0,0,No Deposit,Transient,81.03,0
Resort Hotel,0,139,2016,May,1,1,2,0.0,0,BB,PRT,Direct,0,0,No Deposit,Transient,83.94,1
City Hotel,1,102,2016,March,1,1,2,0.0,0,BB,ESP,Groups,0,0,Non Refund,Transient-Party,102.14,0
Resort Hotel,0,131,2015,August,2,4,2,0.0,0,FB,PRT,Online TA,0,0,No Deposit,Transient,168.18,1
City Hotel,1,204,2016,July,0,4,2,2.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient-Party,146.94,0
City Hotel,1,62,2016,July,0,2,2,0.0,0,BB,GBR,Groups,0,0,No Deposit,Transient,112.92,0
Resort Hotel,1,149,2016,May,1,2,1,0.0,0,BB,IRL,Offline TA/TO,0,0,No Deposit,Transient-Party,75.47,0
City Hotel,0,72,2015,April,2,3,2,0.0,0,FB,ESP,Direct,0,0,Refundable,Transient,88.94,3
City Hotel,0,116,2016,May,1,3,1,0.0,0,BB,NLD,Online TA,0,0,No Deposit,Transient,143.8,2
Resort Hotel,1,88,2016,August,1,1,3,0.0,0,HB,FRA,Online TA,0,0,Non Refund,Transient,157.52,1
Resort Hotel,0,84,2017,May,1,1,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,100.15,1
City Hotel,0,219,2016,July,0,3,1,0.0,0,HB,PRT,Online TA,0,0,No Deposit,Transient,148.17,0
City Hotel,0,143,2017,June,0,5,2,0.0,0,SC,USA,Direct,0,0,No Deposit,Transient-Party,137.38,1
City Hotel,0,178,2015,November,1,3,2,1.0,0,BB,PRT,Online TA,0,0,Non Refund,Transient,139.07,0
City Hotel,1,206,2015,December,1,6,2,0.0,0,BB,DEU,Groups,0,0,No Deposit,Transient,75.05,0
City Hotel,0,103,2015,August,0,1,1,0.0,0,BB,DEU,Direct,0,0,No Deposit,Transient,125.39,0
City Hotel,1,164,2016,January,0,2,1,0.0,0,HB,NLD,Online TA,0,0,No Deposit,Transient,136.64,0
City Hotel,1,59,2017,October,0,2,2,0.0,0,BB,FRA,Online TA,0,0,No Deposit,Transient,116.76,0
City Hotel,0,35,2016,May,1,2,2,0.0,1,BB,IRL,Online TA,0,0,No Deposit,Transient,110.98,0
Resort Hotel,0,57,2017,September,0,3,2,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,134.0,0
City Hotel,0,59,2015,July,0,2,2,0.0,0,Undefined,PRT,Online TA,1,0,No Deposit,Transient,132.97,1
City Hotel,0,75,2015,April,0,1,1,0.0,0,SC,ITA,Offline TA/TO,0,0,No Deposit,Transient,76.03,1
City Hotel,1,117,2016,May,1,4,2,0.0,0,BB,FRA,Groups,0,0,No Deposit,Transient,115.37,0
City Hotel,1,47,2016,January,0,3,1,1.0,0,FB,IRL,Groups,1,0,No Deposit,Transient,106.96,0
City Hotel,0,4,2016,July,0,3,3,0.0,0,HB,PRT,Direct,0,0,No Deposit,Transient,143.01,0
City Hotel,1,92,2017,June,0,3,2,1.0,0,BB,IRL,Online TA,0,0,No Deposit,Transient,143.56,1
Resort Hotel,0,72,2016,March,1,5,2,0.0,0,BB,ESP,Corporate,0,0,No Deposit,Transient,87.14,0
City Hotel,1,101,2016,October,1,3,2,0.0,0,BB,PRT,Complementary,0,0,Non Refund,Transient,77.05,2
Resort Hotel,0,54,2016,July,0,4,2,0.0,0,BB,FRA,Offline TA/TO,0,0,No Deposit,Transient,157.03,0
City Hotel,1,21,2016,September,0,5,2,0.0,0,BB,PRT,Corporate,0,0,Non Refund,Transient,156.82,0
Resort Hotel,0,105,2015,September,2,0,2,1.0,0,BB,GBR,Offline TA/TO,0,0,No Deposit,Transient,154.56,0
Resort Hotel,1,39,2016,August,0,4,2,0.0,0,Undefined,PRT,Direct,0,0,Non Refund,Transient,200.27,0
Resort Hotel,1,208,2015,September,0,4,2,0.0,0,HB,ESP,Online TA,0,0,No Deposit,Transient,135.41,2
City Hotel,0,99,2015,December,0,1,3,1.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,90.34,1
City Hotel,1,62,2016,June,2,0,2,0.0,0,SC,USA,Online TA,0,0,Non Refund,Transient,158.49,0
City Hotel,0,116,2017,November,0,1,2,0.0,0,BB,ESP,Groups,0,0,No Deposit,Transient,100.89,0
Resort Hotel,1,230,2016,June,0,3,1,0.0,0,SC,PRT,Offline TA/TO,0,0,No Deposit,Transient,124.1,0
City Hotel,0,135,2017,September,1,3,2,0.0,0,BB,GBR,Groups,0,0,No Deposit,Contract,131.95,0
Resort Hotel,0,45,2016,May,0,1,2,0.0,0,HB,PRT,Direct,0,0,No Deposit,Transient,105.25,1
City Hotel,0,83,2017,October,0,4,0,0.0,0,BB,FRA,Complementary,0,0,No Deposit,Transient,123.58,0
City Hotel,1,36,2017,May,2,3,1,0.0,0,BB,BEL,Direct,0,0,Non Refund,Transient,110.37,1
City Hotel,1,305,2017,May,0,4,2,0.0,0,HB,ITA,Online TA,0,0,No Deposit,Transient,89.38,1
Resort Hotel,0,21,2015,April,0,2,1,0.0,0,BB,FRA,Direct,0,0,No Deposit,Group,83.8,1
City Hotel,0,156,2016,June,1,3,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,102.45,1
City Hotel,0,44,2015,April,1,1,3,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,79.91,0
City Hotel,1,49,2015,March,0,3,2,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,128.59,0
City Hotel,0,115,2016,May,2,5,2,3.0,0,BB,ITA,Offline TA/TO,0,0,No Deposit,Transient-Party,141.89,0
City Hotel,0,55,2016,July,2,2,2,0.0,0,BB,GBR,Offline TA/TO,1,0,No Deposit,Transient,162.15,0
City Hotel,0,54,2016,November,2,3,2,0.0,0,FB,BEL,Online TA,0,0,No Deposit,Transient,96.0,1
City Hotel,1,56,2015,July,1,2,3,1.0,0,Undefined,DEU,Offline TA/TO,0,0,No Deposit,Transient,147.03,0
City Hotel,1,156,2016,July,2,2,1,0.0,0,SC,ITA,Online TA,0,0,No Deposit,Transient,119.59,0
City Hotel,1,47,2017,September,1,3,1,0.0,0,BB,IRL,Online TA,0,0,No Deposit,Transient-Party,158.19,0
City Hotel,0,116,2017,May,1,2,1,0.0,0,HB,PRT,Online TA,0,0,No Deposit,Transient,131.74,3
City Hotel,1,17,2015,February,0,2,1,2.0,0,BB,FRA,Online TA,0,0,No Deposit,Transient,166.56,1
Resort Hotel,0,101,2016,March,0,3,2,0.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient,105.78,0
Resort Hotel,1,128,2017,October,0,6,2,0.0,0,HB,DEU,Direct,0,0,No Deposit,Transient,122.95,2
City Hotel,0,48,2016,March,1,0,2,0.0,0,SC,DEU,Direct,0,0,No Deposit,Transient-Party,116.25,3
City Hotel,0,84,2017,February,1,0,1,0.0,0,SC,PRT,Offline TA/TO,0,0,No Deposit,Transient,118.13,0
City Hotel,0,6,2015,February,0,2,2,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient-Party,102.25,0
City Hotel,0,69,2017,June,1,1,2,0.0,0,BB,ITA,Offline TA/TO,0,0,No Deposit,Transient,114.04,0
City Hotel,1,108,2016,August,0,6,2,0.0,0,HB,GBR,Groups,0,0,No Deposit,Transient-Party,120.18,0
Resort Hotel,0,53,2016,February,1,0,2,2.0,0,FB,BEL,Online TA,0,0,No Deposit,Transient,72.65,1
Resort Hotel,1,160,2017,April,3,4,2,1.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient,87.9,0
City Hotel,0,129,2016,August,1,2,2,0.0,0,BB,USA,Offline TA/TO,0,0,No Deposit,Transient,129.73,1
City Hotel,1,68,2017,August,1,1,1,0.0,0,SC,PRT,Online TA,0,0,Non Refund,Transient-Party,131.95,0
Resort Hotel,0,66,2016,January,2,2,1,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Contract,73.53,0
Resort Hotel,0,27,2017,August,0,3,1,0.0,0,FB,PRT,Offline TA/TO,0,0,No Deposit,Transient,155.39,0
City Hotel,0,78,2016,July,1,0,1,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,128.63,0
Resort Hotel,1,139,2015,August,1,2,2,0.0,0,BB,BEL,Online TA,0,0,No Deposit,Transient-Party,164.33,0
City Hotel,0,225,2016,June,0,3,3,0.0,0,BB,ESP,Corporate,0,0,No Deposit,Transient,111.12,0
City Hotel,1,163,2017,June,0,2,2,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,145.9,1
City Hotel,0,62,2015,August,0,1,1,2.0,0,FB,FRA,Online TA,0,0,Non Refund,Transient,182.66,0
City Hotel,1,38,2015,September,1,1,2,0.0,0,BB,ESP,Offline TA/TO,0,0,No Deposit,Transient-Party,141.26,0
City Hotel,1,59,2017,June,0,4,2,0.0,0,SC,USA,Groups,0,0,No Deposit,Transient-Party,154.79,0
Resort Hotel,0,233,2015,April,1,5,2,2.0,0,BB,PRT,Groups,0,0,No Deposit,Transient,113.9,2
Resort Hotel,0,36,2016,November,1,4,1,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient-Party,97.35,0
City Hotel,0,39,2016,July,0,3,1,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,102.12,0
City Hotel,0,195,2017,September,2,1,2,0.0,0,BB,ESP,Offline TA/TO,0,0,No Deposit,Transient,160.01,0
City Hotel,1,88,2016,July,0,0,2,0.0,0,BB,PRT,Aviation,0,0,No Deposit,Transient,156.12,0
City Hotel,1,21,2017,December,3,1,1,2.0,0,BB,PRT,Groups,0,0,No Deposit,Transient,129.59,0
City Hotel,1,146,2015,April,0,3,2,0.0,0,BB,USA,Online TA,0,0,No Deposit,Transient,101.75,1
Resort Hotel,0,55,2017,July,1,1,2,0.0,0,BB,PRT,Complementary,1,0,No Deposit,Transient-Party,139.04,0
City Hotel,0,104,2015,February,1,1,1,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,111.02,1
City Hotel,1,97,2015,July,0,1,2,1.0,0,SC,BEL,Online TA,0,0,No Deposit,Transient,129.91,0
City Hotel,0,84,2016,May,0,6,3,0.0,0,BB,ESP,Online TA,0,0,No Deposit,Transient,151.97,0
Resort Hotel,0,54,2015,August,1,2,2,0.0,0,BB,BEL,Direct,0,0,No Deposit,Transient,160.78,1
City Hotel,0,110,2016,April,2,1,2,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,93.45,1
City Hotel,1,80,2016,July,1,1,2,0.0,0,BB,USA,Online TA,0,0,Non Refund,Contract,115.46,1
Resort Hotel,0,73,2017,September,1,1,2,1.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,171.05,1
City Hotel,0,138,2016,April,0,2,1,0.0,0,BB,GBR,Offline TA/TO,0,0,No Deposit,Transient,137.72,1
City Hotel,0,139,2017,September,0,4,2,0.0,0,BB,FRA,Groups,0,0,No Deposit,Transient,164.52,0
City Hotel,0,81,2016,January,1,5,2,0.0,0,BB,ITA,Direct,0,0,No Deposit,Transient,105.81,0
City Hotel,0,108,2017,November,0,2,1,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,82.67,0
City Hotel,0,130,2016,July,0,0,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,128.04,1
City Hotel,0,125,2017,December,1,4,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,131.48,1
City Hotel,0,63,2016,June,0,4,2,0.0,0,FB,GBR,Online TA,0,0,No Deposit,Transient-Party,93.22,2
Resort Hotel,1,80,2017,April,0,0,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,81.61,0
City Hotel,0,30,2016,August,1,4,2,0.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient,148.25,1
City Hotel,0,221,2015,June,0,2,2,0.0,0,BB,ITA,Online TA,0,0,No Deposit,Transient,141.96,1
City Hotel,0,114,2016,May,1,3,2,0.0,0,BB,PRT,Groups,0,0,No Deposit,Transient,100.94,0
City Hotel,1,329,2016,June,0,1,2,0.0,0,BB,NLD,Online TA,0,2,No Deposit,Transient,135.33,0
City Hotel,0,21,2017,October,1,1,1,0.0,0,BB,PRT,Direct,0,0,No Deposit,Transient,131.52,1
City Hotel,0,26,2015,April,1,4,2,0.0,0,BB,NLD,Online TA,0,0,No Deposit,Transient,104.39,1
City Hotel,0,267,2016,March,1,5,2,0.0,0,BB,USA,Offline TA/TO,0,0,No Deposit,Transient-Party,124.0,0
City Hotel,1,79,2017,January,0,1,2,0.0,0,HB,PRT,Offline TA/TO,0,3,Non Refund,Transient,122.81,0
City Hotel,0,53,2017,August,1,0,2,0.0,0,SC,IRL,Offline TA/TO,0,0,No Deposit,Transient-Party,113.61,0
Resort Hotel,0,61,2016,March,1,2,2,0.0,0,FB,FRA,Offline TA/TO,0,0,No Deposit,Transient-Party,116.01,0
Resort Hotel,0,36,2017,April,2,1,2,0.0,0,FB,PRT,Corporate,0,0,No Deposit,Transient,90.35,0
City Hotel,0,60,2017,September,2,3,2,0.0,0,SC,PRT,Offline TA/TO,0,0,No Deposit,Transient-Party,154.73,1
City Hotel,0,62,2017,January,3,2,2,0.0,0,BB,GBR,Offline TA/TO,0,0,No Deposit,Transient-Party,139.02,1
City Hotel,1,244,2016,October,2,3,2,1.0,0,BB,IRL,Online TA,0,2,No Deposit,Transient,115.7,0
City Hotel,1,76,2017,June,2,1,1,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Group,154.74,0
Resort Hotel,0,83,2017,September,0,2,2,0.0,0,BB,NLD,Online TA,0,0,No Deposit,Transient,159.24,1
City Hotel,0,52,2016,October,1,0,2,0.0,0,BB,DEU,Online TA,0,0,No Deposit,Transient,116.84,0
City Hotel,0,32,2016,May,0,3,2,0.0,0,Undefined,ESP,Direct,0,0,No Deposit,Transient,109.76,0
City Hotel,1,34,2016,September,1,5,3,0.0,0,BB,PRT,Direct,0,0,No Deposit,Transient-Party,119.7,0
City Hotel,0,36,2016,July,0,2,1,0.0,0,BB,USA,Direct,0,0,No Deposit,Transient-Party,158.16,0
Resort Hotel,0,26,2017,May,0,0,2,0.0,1,BB,DEU,Offline TA/TO,0,0,No Deposit,Transient,84.76,2
City Hotel,0,65,2016,October,0,3,2,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,97.8,0
Resort Hotel,0,86,2017,June,1,2,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,154.53,1
Resort Hotel,0,75,2017,February,0,2,2,0.0,0,SC,PRT,Offline TA/TO,0,0,No Deposit,Transient,103.63,0
Resort Hotel,0,32,2016,June,1,5,1,0.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient,135.49,0
City Hotel,0,28,2016,April,1,1,2,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,109.11,2
City Hotel,0,85,2016,July,1,2,2,0.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient,122.47,1
City Hotel,0,25,2015,July,1,3,2,0.0,0,SC,PRT,Groups,0,0,No Deposit,Transient,126.34,0
City Hotel,0,59,2017,August,1,5,2,0.0,0,BB,ESP,Offline TA/TO,0,0,No Deposit,Transient,142.58,1
Resort Hotel,0,89,2015,November,0,2,2,0.0,0,BB,ITA,Online TA,0,0,No Deposit,Transient,120.8,0
City Hotel,1,25,2016,August,0,3,2,0.0,0,BB,PRT,Corporate,0,1,Non Refund,Transient,158.96,1
City Hotel,1,12,2017,February,0,2,2,0.0,0,BB,IRL,Online TA,0,0,No Deposit,Transient,127.17,1
City Hotel,0,240,2015,March,1,4,2,0.0,0,BB,IRL,Online TA,0,0,No Deposit,Transient,87.12,1
Resort Hotel,0,226,2016,August,1,0,2,0.0,0,BB,FRA,Offline TA/TO,0,0,No Deposit,Transient,123.74,0
City Hotel,1,79,2016,February,1,4,2,0.0,0,SC,PRT,Offline TA/TO,0,0,No Deposit,Transient,92.99,2
City Hotel,1,162,2016,October,0,1,1,0.0,0,HB,ESP,Offline TA/TO,0,0,No Deposit,Transient,108.85,0
City Hotel,0,39,2016,March,1,6,1,0.0,0,SC,PRT,Direct,0,0,No Deposit,Contract,97.45,0
City Hotel,0,94,2015,September,1,2,2,0.0,0,BB,DEU,Offline TA/TO,0,0,No Deposit,Transient-Party,151.48,2
City Hotel,1,49,2016,June,2,4,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,153.33,1
City Hotel,0,74,2016,August,0,2,2,0.0,0,BB,PRT,Groups,0,0,No Deposit,Transient-Party,137.71,0
Resort Hotel,0,60,2016,March,2,4,2,0.0,0,SC,FRA,Online TA,0,0,No Deposit,Transient,75.86,2
City Hotel,1,69,2015,August,1,6,2,0.0,0,Undefined,PRT,Groups,0,2,No Deposit,Transient,146.0,1
City Hotel,1,70,2016,July,0,3,2,0.0,0,SC,GBR,Online TA,0,3,No Deposit,Transient,162.03,0
City Hotel,0,231,2016,August,0,1,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,113.8,0
City Hotel,1,117,2017,April,2,1,3,0.0,0,SC,DEU,Online TA,0,0,No Deposit,Contract,118.87,1
City Hotel,1,79,2017,June,0,2,2,0.0,0,BB,FRA,Groups,0,0,No Deposit,Transient,115.17,0
Resort Hotel,0,35,2017,September,2,2,3,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,159.85,1
Resort Hotel,0,102,2017,September,0,2,1,0.0,0,SC,FRA,Online TA,0,0,No Deposit,Transient,151.25,0
City Hotel,0,54,2016,September,2,4,2,0.0,0,FB,DEU,Direct,0,0,No Deposit,Transient,147.99,0
City Hotel,0,98,2015,February,1,5,2,0.0,0,HB,IRL,Corporate,0,0,No Deposit,Transient,76.69,0
City Hotel,0,292,2016,December,3,1,2,0.0,0,SC,IRL,Online TA,0,0,No Deposit,Transient,111.45,2
City Hotel,0,102,2017,June,0,1,2,0.0,0,SC,PRT,Aviation,1,0,No Deposit,Transient,123.2,0
Resort Hotel,1,50,2017,June,0,3,1,1.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient-Party,156.58,1
City Hotel,0,2,2017,May,0,3,2,0.0,0,BB,GBR,Corporate,0,0,No Deposit,Transient,137.51,0
City Hotel,0,49,2017,August,1,4,2,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient,132.97,0
City Hotel,0,6,2015,October,1,2,1,0.0,0,FB,FRA,Groups,0,0,No Deposit,Transient,106.24,2
City Hotel,0,53,2016,January,0,0,2,1.0,0,BB,ESP,Online TA,0,0,No Deposit,Transient,154.81,2
City Hotel,0,23,2016,September,2,2,3,0.0,0,HB,PRT,Online TA,0,0,No Deposit,Transient,132.43,1
City Hotel,0,29,2015,July,1,3,2,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,155.8,0
Resort Hotel,0,99,2016,May,3,0,3,0.0,0,SC,FRA,Online TA,0,0,No Deposit,Transient,56.52,0
City Hotel,0,70,2017,May,3,2,2,0.0,0,SC,PRT,Groups,0,0,No Deposit,Transient,105.23,0
Resort Hotel,0,151,2015,January,0,4,2,0.0,0,FB,DEU,Online TA,0,0,No Deposit,Transient,98.77,1
City Hotel,0,27,2015,November,0,4,2,0.0,0,BB,GBR,Groups,0,0,No Deposit,Transient,134.82,0
City Hotel,0,98,2016,June,0,5,2,0.0,0,SC,IRL,Offline TA/TO,0,0,No Deposit,Transient,146.32,2
City Hotel,1,258,2017,September,1,2,2,0.0,0,BB,ESP,Online TA,0,2,No Deposit,Transient,133.83,0
Resort Hotel,0,64,2016,February,3,5,2,0.0,0,BB,IRL,Online TA,0,0,No Deposit,Transient,86.11,0
City Hotel,1,355,2016,August,0,2,2,0.0,0,BB,BEL,Online TA,0,0,Non Refund,Transient,127.2,1
City Hotel,1,9,2016,April,0,3,2,0.0,0,SC,PRT,Online TA,0,0,No Deposit,Transient-Party,114.28,0
City Hotel,1,144,2016,October,0,2,2,0.0,0,HB,ESP,Offline TA/TO,0,1,No Deposit,Transient-Party,111.51,0
City Hotel,1,92,2016,September,0,3,2,0.0,0,HB,DEU,Offline TA/TO,0,0,No Deposit,Transient,116.38,0
City Hotel,0,51,2017,October,1,3,1,0.0,0,BB,FRA,Offline TA/TO,0,0,No Deposit,Transient-Party,92.53,0
Resort Hotel,0,49,2017,April,0,2,2,0.0,0,BB,ESP,Direct,0,0,No Deposit,Transient,101.53,0
Resort Hotel,0,291,2015,August,0,4,3,0.0,0,BB,PRT,Offline TA/TO,0,0,No Deposit,Transient-Party,101.73,3
City Hotel,0,39,2016,April,0,3,2,0.0,0,HB,NLD,Online TA,0,0,No Deposit,Transient,101.58,0
Resort Hotel,1,184,2017,November,1,4,2,0.0,0,FB,PRT,Online TA,0,0,Non Refund,Transient,98.75,0
City Hotel,1,148,2017,May,2,5,1,0.0,0,BB,USA,Corporate,0,0,No Deposit,Transient,85.0,0
Resort Hotel,0,146,2017,April,0,4,3,0.0,0,SC,GBR,Offline TA/TO,0,0,No Deposit,Transient,82.03,0
City Hotel,1,169,2015,July,1,4,2,0.0,0,HB,PRT,Online TA,0,0,Non Refund,Transient,138.13,0
City Hotel,0,48,2016,August,2,4,2,0.0,0,SC,PRT,Direct,0,0,No Deposit,Transient,158.45,0
City Hotel,0,91,2016,September,0,2,2,0.0,0,BB,IRL,Offline TA/TO,0,0,No Deposit,Transient,124.48,0
City Hotel,0,184,2015,September,2,2,2,0.0,0,BB,ITA,Online TA,0,0,No Deposit,Transient-Party,119.81,0
Resort Hotel,0,182,2017,July,1,2,2,1.0,0,BB,FRA,Online TA,0,0,No Deposit,Transient,168.27,0
City Hotel,0,209,2017,May,0,2,2,0.0,0,HB,PRT,Online TA,0,0,No Deposit,Transient,134.1,1
City Hotel,0,163,2017,August,2,5,1,2.0,0,SC,NLD,Online TA,0,0,No Deposit,Transient,153.49,1
City Hotel,0,65,2016,May,1,5,2,0.0,0,HB,PRT,Online TA,0,0,No Deposit,Transient-Party,118.7,2
Resort Hotel,0,78,2017,June,0,3,1,0.0,0,BB,FRA,Direct,0,0,Non Refund,Transient,150.83,3
City Hotel,1,227,2015,March,2,3,3,0.0,0,BB,USA,Online TA,0,0,No Deposit,Transient-Party,147.19,0
City Hotel,0,66,2016,October,0,3,2,1.0,0,HB,PRT,Groups,0,0,No Deposit,Transient,97.07,0
City Hotel,1,301,2017,November,2,3,2,1.0,0,BB,PRT,Groups,0,0,No Deposit,Transient-Party,149.11,0
Resort Hotel,1,299,2017,July,0,2,2,0.0,0,HB,PRT,Online TA,0,0,Non Refund,Transient,160.74,0
City Hotel,0,174,2017,April,1,4,2,0.0,0,BB,FRA,Offline TA/TO,0,0,No Deposit,Transient-Party,86.23,1
City Hotel,0,140,2016,September,1,1,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,127.31,0
City Hotel,0,41,2015,December,2,2,2,0.0,0,HB,GBR,Corporate,0,0,No Deposit,Transient,83.39,1
City Hotel,0,46,2015,July,0,4,1,0.0,0,BB,GBR,Online TA,0,0,No Deposit,Transient,146.46,0
City Hotel,0,176,2015,September,0,1,2,0.0,0,BB,PRT,Direct,0,0,No Deposit,Transient-Party,125.06,1
Resort Hotel,1,107,2017,October,0,4,2,0.0,0,BB,PRT,Online TA,0,0,Non Refund,Transient,66.23,0
Resort Hotel,1,45,2017,March,3,4,2,0.0,0,SC,FRA,Online TA,0,0,No Deposit,Transient,48.37,1
City Hotel,0,210,2016,September,0,3,2,0.0,0,Undefined,PRT,Offline TA/TO,0,0,No Deposit,Transient,138.68,2
Resort Hotel,0,180,2016,March,0,0,1,0.0,0,HB,PRT,Offline TA/TO,0,0,No Deposit,Transient,85.07,0
City Hotel,0,83,2017,August,1,2,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient-Party,127.99,0
City Hotel,1,53,2016,December,3,2,3,0.0,0,BB,DEU,Direct,0,0,No Deposit,Transient,112.75,0
Resort Hotel,1,30,2017,June,0,2,2,0.0,0,BB,PRT,Online TA,0,2,No Deposit,Transient,177.31,0
Resort Hotel,0,40,2016,September,1,2,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,142.66,2
Resort Hotel,0,106,2017,April,0,2,1,0.0,0,BB,PRT,Online TA,1,0,No Deposit,Transient,88.95,0
City Hotel,0,49,2017,March,2,2,2,0.0,0,BB,ESP,Online TA,0,0,No Deposit,Transient-Party,114.78,0
City Hotel,1,79,2016,April,0,3,2,0.0,0,BB,PRT,Online TA,0,0,No Deposit,Transient,111.73,0
City Hotel,1,83,2017,January,0,4,2,0.0,1,BB,GBR,Online TA,0,0,Non Refund,Contract,118.4,0
City Hotel,1,52,2015,May,2,4,2,0.0,0,FB,BEL,Online TA,0,0,Non Refund,Transient,120.15,1
Resort Hotel,1,67,2016,October,1,4,2,0.0,0,BB,FRA,Corporate,0,0,Non Refund,Transient,90.1,2
City Hotel,1,69,2017,February,0,2,2,0.0,0,HB,NLD,Online TA,0,0,No Deposit,Transient,68.5,1
Resort Hotel,1,54,2017,August,1,2,2,2.0,0,BB,BEL,Online TA,0,2,No Deposit,Transient-Party,152.86,2
Resort Hotel,1,115,2017,July,2,0,1,0.0,0,BB,DEU,Online TA,0,0,Non Refund,Contract,132.18,0
City Hotel,0,37,2017,April,3,6,2,0.0,0,HB,ITA,Offline TA/TO,0,0,No Deposit,Transient,105.42,2
Resort Hotel,0,115,2016,June,1,3,2,0.0,0,BB,BEL,Direct,0,1,No Deposit,Transient,148.74,0
City Hotel,1,65,2017,October,1,1,2,0.0,0,BB,PRT,Online TA,0,0,Non Refund,Transient,112.23,2
Resort Hotel,0,75,2016,June,1,3,2,0.0,0,BB,GBR,Online TA,1,0,No Deposit,Transient-Party,137.23,0
City Hotel,0,31,2017,August,1,4,1,0.0,0,BB,GBR,Offline TA/TO,0,0,No Deposit,Transient,122.26,0
